
ORIGIN,Description,Sum(PASSENGERS)
"KTN","Ketchikan, AK: Ketchikan International",72894
"KTS","Brevig Mission, AK: Brevig Mission Airport",1374
"KUK","Kasigluk, AK: Kasigluk Airport",1811
"KVC","King Cove, AK: King Cove Airport",762
"KVL","Kivalina, AK: Kivalina Airport",1846
"KWF","Waterfall, AK: Waterfall Seaplane Base",1055
"KWK","Kwigillingok, AK: Kwigillingok Airport",2059
"KWN","Quinhagak, AK: Quinhagak Airport",3455
"KWP","West Point, AK: West Point Village",16
"KWT","Kwethluk, AK: Kwethluk Airport",1602
"KXA","Kasaan, AK: Kasaan Seaplane Base",22
"KY5","Madisonville, KY: Madisonville Regional",4
"KYK","Karluk, AK: Karluk Airport",185
"KYU","Koyukuk, AK: Koyukuk Airport",461
"KZB","Zachar Bay, AK: Zachar Bay Airport",8
"L41","Marble Canyon, AZ: Marble Canyon Airport",54
"LA3","Reserve, LA: Port of South Louisiana Executive",4
"LAF","Lafayette, IN: Purdue University",922
"LAL","Lakeland, FL: Lakeland Linder Regional",233
"LAN","Lansing, MI: Capital Region International",105555
"LAR","Laramie, WY: Laramie Regional",8025
"LAS","Las Vegas, NV: McCarran International",12451920
"LAW","Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",29611
"LAX","Los Angeles, CA: Los Angeles International",16780996
"LBB","Lubbock, TX: Lubbock Preston Smith International",258788
"LBE","Latrobe, PA: Arnold Palmer Regional",98500
"LBF","North Platte, NE: North Platte Regional Airport Lee Bird Field",3069
"LBL","Liberal, KS: Liberal Mid-America Regional",829
"LCH","Lake Charles, LA: Lake Charles Regional",29220
"LCI","Laconia, NH: Laconia Municipal",27
"LCK","Columbus, OH: Rickenbacker International",86646
"LEB","Lebanon-Hanover, NH: Lebanon Municipal",5548
"LEW","Lewiston/Auburn, ME: Auburn Lewiston Municipal",15
"LEX","Lexington, KY: Blue Grass",376927
"LFI","Newport News/Hampton, VA: Langley AFB",74
"LFT","Lafayette, LA: Lafayette Regional Paul Fournet Field",117199
"LGA","New York, NY: LaGuardia",7658383
"LGB","Long Beach, CA: Long Beach Airport",1052985
"LGD","La Grande, OR: La Grande/Union County",0
"LIH","Lihue, HI: Lihue Airport",884960
"LIJ","Long Island, AK: Long Island Airport",4
"LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",571452
"LKE","Seattle, WA: Lake Union Terminal",6737
"LKK","Kulik Lake, AK: Kulik Lake Airport",1074
"LKP","Lake Placid, NY: Lake Placid Airport",2
"LMA","Lake Minchumina, AK: Lake Minchumina Airport",5
"LMT","Klamath Falls, OR: Crater Lake Klamath Regional",5340
"LNK","Lincoln, NE: Lincoln Airport",86418
"LNS","Lancaster, PA: Lancaster Airport",2621
"LNY","Lanai, HI: Lanai Airport",22245
"LOZ","London/Corbin, KY: London-Corbin Airport-Magee Field",2
"LPS","Lopez Island, WA: Lopez Island Airport",5
"LRD","Laredo, TX: Laredo International",53085
"LRU","Las Cruces, NM: Las Cruces International",142
"LSE","La Crosse, WI: La Crosse Regional",51485
"LSV","Las Vegas, NV: Nellis AFB",404
"LUK","Cincinnati, OH: Cincinnati Municipal Lunken Field",17698
"LUP","Kalaupapa, HI: Kalaupapa Airport",2758
"LUR","Cape Lisburne, AK: Cape Lisburne LRRS",99
"LWB","Lewisburg, WV: Greenbrier Valley",3163
"LWM","Lawrence, MA: Lawrence Municipal",7
"LWS","Lewiston, ID: Lewiston Nez Perce County",41407
"LYH","Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",48542
"LZU","Lawrenceville, GA: Gwinnett County - Briscoe Field",0
"MA1","Edgartown, MA: Katama Airpark",4
"MA2","Montague, MA: Turners Falls",1
"MA4","Marshfield, MA: Marshfield Municipal George Harlow Field",6
"MAF","Midland/Odessa, TX: Midland International Air and Space Port",292665
"MAZ","Mayaguez, PR: Eugenio Maria de Hostos",3971
"MBL","Manistee/Ludington, MI: Manistee County-Blacker",4910
"MBS","Saginaw/Bay City/Midland, MI: MBS International",64751
"MCE","Merced, CA: Merced Regional/Macready Field",4840
"MCG","McGrath, AK: McGrath Airport",1234
"MCI","Kansas City, MO: Kansas City International",3247469
"MCK","McCook, NE: McCook Ben Nelson Regional",1435
"MCN","Macon, GA: Middle Georgia Regional",651
"MCO","Orlando, FL: Orlando International",11315433
"MCW","Mason City, IA: Mason City Municipal",4291
"MDH","Carbondale, IL: Southern Illinois",1
"MDT","Harrisburg, PA: Harrisburg International",329037
"MDW","Chicago, IL: Chicago Midway International",5991400
"ME2","Islesboro, ME: Islesboro Airport",7
"ME3","Belfast, ME: Belfast Municipal",29
"MEI","Meridian, MS: Key Field",15283
"MEM","Memphis, TN: Memphis International",1196038
"MEO","Manteo, NC: Dare County Regional",0
"MEV","Minden, NV: Minden-Tahoe",0
"MFD","Mansfield, OH: Mansfield Lahm Regional",0
"MFE","Mission/McAllen/Edinburg, TX: McAllen Miller International",194373
"MFR","Medford, OR: Rogue Valley International - Medford",237447
"MGM","Montgomery, AL: Montgomery Regional",88186
"MGW","Morgantown, WV: Morgantown Municipal-Walter L. Bill Hart Field",3078
"MHE","Mitchell, SD: Mitchell Municipal",0
"MHK","Manhattan/Ft. Riley, KS: Manhattan Regional",36659
"MHM","Minchumina, AK: Minchumina Airport",82
"MHR","Sacramento, CA: Sacramento Mather",17
"MHT","Manchester, NH: Manchester-Boston Regional",546734
"MHV","Mojave, CA: Mojave Air and Space Port",0
"MIA","Miami, FL: Miami International",6266518
"MIE","Muncie/Anderson/Newcastle, IN: Delaware County Regional",0
"MIW","Marshalltown, IA: Marshalltown Municipal",5
"MKC","Kansas City, MO: Charles B. Wheeler Downtown",1692
"MKE","Milwaukee, WI: General Mitchell International",1967738
"MKG","Muskegon, MI: Muskegon County",10277
"MKK","Hoolehua, HI: Molokai",49559
"MKL","Jackson, TN: McKellar-Sipes Regional",2161
"MLB","Melbourne, FL: Melbourne International",131962
"MLI","Moline, IL: Quad City International",194008
"MLL","Marshall, AK: Marshall Don Hunter Sr.",1593
"MLU","Monroe, LA: Monroe Regional",60495
"MLY","Manley Hot Springs, AK: Manley Hot Springs Airport",54
"MMH","Mammoth Lakes, CA: Mammoth Lakes Airport",15026
"MMU","Morristown, NJ: Morristown Municipal",3500
"MNT","Minto, AK: Minto Al Wright",122
"MNZ","Manassas, VA: Manassas Regional/Harry P. Davis Field",512
"MOB","Mobile, AL: Mobile Regional",170647
"MOD","Modesto, CA: Modesto City-County-Harry Sham Field",2
"MOP","Mount Pleasant, MI: Mount Pleasant Municipal",15
"MOS","Moses Point, AK: Moses Point Airport",0
"MOT","Minot, ND: Minot International",82054
"MOU","Mountain Village, AK: Mountain Village Airport",2067
"MPO","Mt. Pocono, PA: Pocono Mountains Municipal",2
"MPR","McPherson, KS: McPherson Airport",1
"MQI","Quincy, MA: Quincy Airport",9
"MQT","Marquette, MI: Sawyer International",28932
"MQY","Smyrna, TN: Smyrna Airport",739
"MRB","Martinsburg, WV: Eastern WV Regional/Shepherd Field",0
"MRC","Columbia, TN: Maury County",0
"MRI","Anchorage, AK: Merrill Field",2309
"MRY","Monterey, CA: Monterey Regional",117045
"MSL","Muscle Shoals, AL: Northwest Alabama Regional",3830
"MSN","Madison, WI: Dane County Regional-Truax Field",530325
"MSO","Missoula, MT: Missoula International",217724
"MSP","Minneapolis, MN: Minneapolis-St Paul International",9797447
"MSS","Massena, NY: Massena International-Richards Field",2781
"MSV","Monticello, NY: Sullivan County International",2
"MSY","New Orleans, LA: Louis Armstrong New Orleans International",3471593
"MTH","Marathon, FL: The Florida Keys Marathon International",9
"MTJ","Montrose/Delta, CO: Montrose Regional",83816
"MTM","Metlakatla, AK: Metlakatala",1328
"MTN","Baltimore, MD: Martin State",24
"MTO","Mattoon/Charleston, IL: Coles County Memorial",10
"MTP","Montauk Point, NY: Sky Portal",29
"MUE","Kamuela, HI: Waimea-Kohala",2539
"MUO","Mountain Home, ID: Mountain Home AFB",66
"MVL","Morrisville, VT: Morrisville Stowe State",186
"MVM","Kayenta, AZ: Kayenta Airport",31
"MVW","Burlington/Mount Vernon, WA: Skagit Regional",0
"MVY","Martha's Vineyard, MA: Martha's Vineyard Airport",24134
"MWA","Marion/Herrin, IL: Veterans Airport of Southern Illinois",5701
"MWH","Moses Lake, WA: Grant County International",2
"MXY","McCarthy, AK: McCarthy Airport",13
"MYK","May Creek, AK: May Creek Airport",2
"MYR","Myrtle Beach, SC: Myrtle Beach International",639511
"MYU","Mekoryuk, AK: Mekoryuk Airport",820
"MZJ","Marana, AZ: Pinal Airpark",0
"N2C","Monroe, NC: Charlotte Monroe Executive",25
"N5C","Whiteville, NC: Columbus County Municipal",1
"NAD","North Adams, MA: Harriman-and-West",13
"NC1","Gastonia, NC: Gastonia Municipal",704
"NCN","Chenega, AK: Chenega Bay",0
"NEW","New Orleans, LA: Lakefront",33
"NGU","Norfolk, VA: Norfolk NS",122
"NIB","Nikolai, AK: Nikolai Airport",146
"NIP","Jacksonville, FL: Jacksonville NAS",0
"NJ1","Berlin, NJ: Camden County",13
"NJK","El Centro, CA: El Centro NAF",137
"NKI","Naukiti, AK: Naukiti Airport",22
"NLG","Nelson Lagoon, AK: Nelson Lagoon Airport",158
"NME","Nightmute, AK: Nightmute Airport",996
"NNK","Naknek, AK: Naknek Airport",4
"NNL","Nondalton, AK: Nondalton Airport",157
"NPT","Newport, RI: Newport State",15
"NUI","Nuiqsut, AK: Nuiqsut Airport",1292
"NUL","Nulato, AK: Nulato Airport",1446
"NUP","Nunapitchuk, AK: Nunapitchuk Airport",1816
"NUQ","Mountain View, CA: Moffett Federal Airfield",8
"NY4","Potsdam, NY: Potsdam Municipal Damon Field",6
"NY5","Millbrook, NY: Sky Acres",1
"NY7","Skaneateles, NY: Skaneateles Aero Drome",4
"NYL","Yuma, AZ: Yuma MCAS/Yuma International",63
"NZC","Jacksonville, FL: Cecil",0
"O5H","Bowling Green, OH: Wood County",2
"O85","Redding, CA: Benton Field",0
"OAJ","Jacksonville/Camp Lejeune, NC: Albert J Ellis",89471
"OAK","Oakland, CA: Metropolitan Oakland International",3427436
"OBU","Kobuk, AK: Kobuk Airport",775
"OCA","Key Largo, FL: Ocean Reef Club",4
"OCE","Ocean City, MD: Ocean City Municipal",2
"OCF","Ocala, FL: Ocala International-Jim Taylor Field",2
"OGA","Ogallala, NE: Searle Field",0
"OGB","Orangeburg, SC: Orangeburg Municipal",2
"OGD","Ogden, UT: Ogden-Hinckley",9549
"OGG","Kahului, HI: Kahului Airport",1947880
"OGS","Ogdensburg, NY: Ogdensburg International",14600
"OKC","Oklahoma City, OK: Will Rogers World",1063427
"OKK","Kokomo/Logansport/Peru, IN: Kokomo Municipal",0
"OLF","Wolf Point, MT: L. M. Clayton",2178
"OLH","Old Harbor, AK: Old Harbor Airport",1498
"OLM","Olympia, WA: Olympia Regional",9
"OMA","Omaha, NE: Eppley Airfield",1296476
"OME","Nome, AK: Nome Airport",34253
"ONH","Oneonta, NY: Oneonta Municipal",6
"ONN","Onion Bay, AK: Onion Bay Airport",5
"ONP","Newport, OR: Newport Municipal",0
"ONT","Ontario, CA: Ontario International",1223003
"OOK","Toksook, AK: Toksook Bay",2792
"OPF","Miami, FL: Opa-locka Executive",232
"OR2","Gleneden, OR: Siletz Bay State",0
"ORD","Chicago, IL: Chicago O'Hare International",18115217
"ORF","Norfolk, VA: Norfolk International",949311
"ORH","Worcester, MA: Worcester Regional",31715
"ORI","Port Lions, AK: Port Lions Airport",1092
"ORL","Orlando, FL: Executive",58
"ORV","Noorvik, AK: Robert/Bob/Curtis Memorial",2380
"OSC","Oscoda, MI: Oscoda-Wurtsmith",0
"OTH","North Bend/Coos Bay, OR: Southwest Oregon Regional",7567
"OTS","Anacortes, WA: Anacortes Airport",4
"OTZ","Kotzebue, AK: Ralph Wien Memorial",37049
"OWB","Owensboro, KY: Owensboro Daviess County",11627
"OWD","Norwood, MA: Norwood Memorial",18
"OXC","Waterbury, CT: Waterbury Oxford",56
"OXR","Oxnard/Ventura, CA: Oxnard",2
"PA4","Carlisle, PA: Carlisle Airport",8
"PA5","West Chester, PA: Brandywine",8
"PA6","Pittsburgh1, PA: Pittsburgh Northeast",4
"PAE","Everett, WA: Snohomish County",358
"PAH","Paducah, KY: Barkley Regional",11956
"PBG","Plattsburgh, NY: Plattsburgh International",97377
"PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",1927623
"PBK","Pack Creek, AK: Pack Creek Airport",222
"PCT","Princeton, NJ: Princeton Airport",11
"PDB","Pedro Bay, AK: Pedro Bay Airport",35
"PDK","Atlanta, GA: Dekalb Peachtree",1430
"PDT","Pendleton, OR: Eastern Oregon Regional at Pendleton",3049
"PDX","Portland, OR: Portland International",5143384
"PEC","Pelican, AK: Pelican Seaplane Base",769
"PGA","Page, AZ: Page Municipal",9354
"PGD","Punta Gorda, FL: Punta Gorda Airport",401913
"PGM","Port Graham, AK: Port Graham Airport",1250
"PGS","Peach Springs, AZ: Peach Springs Dirt Strip",5
"PGV","Greenville, NC: Pitt Greenville",29382
"PHF","Newport News/Williamsburg, VA: Newport News/Williamsburg International",114563
"PHL","Philadelphia, PA: Philadelphia International",7191393
"PHO","Point Hope, AK: Point Hope Airport",2877
"PHX","Phoenix, AZ: Phoenix Sky Harbor International",12070961
"PIA","Peoria, IL: General Downing - Peoria International",184923
"PIB","Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",6782
"PIE","St. Petersburg, FL: St Pete Clearwater International",622916
"PIH","Pocatello, ID: Pocatello Regional",22434
"PIP","Pilot Point, AK: Pilot Point Airport",154
"PIR","Pierre, SD: Pierre Regional",17834
"PIT","Pittsburgh, PA: Pittsburgh International",2356417
"PIZ","Point Lay, AK: Point Lay LRRS",998
"PKA","Napaskiak, AK: Napaskiak Airport",561
"PKB","Parkersburg, WV: Mid-Ohio Valley Regional",2455
"PLN","Pellston, MI: Pellston Regional Airport of Emmet County",13405
"PML","Port Moller, AK: Port Moller Airport",72
"PNE","Philadelphia, PA: Northeast Philadelphia",36
"PNS","Pensacola, FL: Pensacola International",483782
"PNX","Sherman-Denison, TX: Sherman-Denison Airport",14
"POB","Fayetteville, NC: Pope AAF",23
"POU","Poughkeepsie, NY: Hudson Valley Regional",2
"PPC","Prospect Creek, AK: Prospect Creek Airport",364
"PPG","Pago Pago, TT: Pago Pago International",15080
"PPV","Port Protection, AK: Port Protection Airport",40
"PQI","Presque Isle/Houlton, ME: Northern Maine Regional at Presque Isle",7240
"PQS","Pilot Station, AK: Pilot Station Airport",2226
"PRB","Paso Robles, CA: Paso Robles Municipal",9
"PRC","Prescott, AZ: Ernest A. Love Field",3542
"PSC","Pasco/Kennewick/Richland, WA: Tri Cities",216210
"PSE","Ponce, PR: Mercedita",59988
"PSF","Pittsfield, MA: Pittsfield Municipal",10
"PSG","Petersburg, AK: Petersburg James A Johnson",12292
"PSM","Portsmouth, NH: Portsmouth International at Pease",35504
"PSP","Palm Springs, CA: Palm Springs International",559381
"PTA","Port Alsworth, AK: Port Alsworth Airport",42
"PTD","Port Alexander, AK: Port Alexander Airport",91
"PTH","Port Heiden, AK: Port Heiden Airport",181
"PTK","Pontiac, MI: Oakland County International",1750
"PTU","Platinum, AK: Platinum Airport",198
"PUB","Pueblo, CO: Pueblo Memorial",2145
"PUL","Poulsbo, WA: Port of Poulsbo Marina Moorage Seaplane Base",3
"PUW","Pullman, WA: Pullman Moscow Regional",34586
"PVC","Provincetown, MA: Provincetown Municipal",4532
"PVD","Providence, RI: Theodore Francis Green State",1022685
"PVU","Provo, UT: Provo Municipal",53429
"PWK","Chicago, IL: Chicago Executive",41
"PWM","Portland, ME: Portland International Jetport",493481
"PYM","Plymouth, MA: Plymouth Municipal",11
"QMA","Kennesaw, GA: Cobb County International McCollum Field",105
"QQB","Keyes Point, AK: Keyes Point Airport",4
"QQU","Window Rock, AZ: Window Rock Airport",0
"QQY","San Marcos, TX: San Marcos Regional",0
"RAP","Rapid City, SD: Rapid City Regional",155255
"RBG","Roseburg, OR: Roseburg Regional",0
"RBH","Brooks Lodge, AK: Brooks Lodge Airport",4706
"RBN","Fort Jefferson, FL: Fort Jefferson Airport",11331
"RBW","Walterboro, SC: Lowcountry Regional",9
"RBY","Ruby, AK: Ruby Airport",1147
"RCA","Rapid City, SD: Ellsworth AFB",99
"RCE","Roche Harbor, WA: Roche Harbor Airport",64
"RDB","Red Dog, AK: Red Dog Airport",6326
"RDD","Redding, CA: Redding Municipal",24997
"RDG","Reading, PA: Reading Regional/Carl A Spaatz Field",672
"RDM","Bend/Redmond, OR: Roberts Field",197685
"RDU","Raleigh/Durham, NC: Raleigh-Durham International",3128403
"RDV","Red Devil, AK: Red Devil Airport",28
"RFD","Rockford, IL: Chicago/Rockford International",61735
"RHI","Rhinelander, WI: Rhinelander/Oneida County",12746
"RIC","Richmond, VA: Richmond International",1027986
"RIL","Rifle, CO: Rifle Garfield County",108
"RIV","Riverside, CA: March ARB",0
"RIW","Riverton/Lander, WY: Riverton Regional",2700
"RKD","Rockland, ME: Knox County Regional",3638
"RKS","Rock Springs, WY: Rock Springs Sweetwater County",10125
"RLU","Bornite/Ruby Creek, AK: Bornite Upper",92
"RME","Rome, NY: Griffiss International",57
"RMP","Rampart, AK: Rampart Airport",335
"RNO","Reno, NV: Reno/Tahoe International",1103524
"RNT","Renton, WA: Renton Municipal",611
"ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",173165
"ROC","Rochester, NY: Greater Rochester International",686682
"ROG","Rogers, AR: Rogers Executive Carter Field",8
"ROP","Rota, TT: Benjamin Taisacan Manglona International",12310
"ROW","Roswell, NM: Roswell International Air Center",30983
"RQI","Nixon Fork Mine, AK: Nixon Fork Mine Airport",0
"RQZ","Mary Esther, FL: Hurlburt Field",0
"RSH","Russian Mission, AK: Russian Mission Airport",1321
"RSJ","Rosario, WA: Rosario Seaplane Base",1
"RSN","Ruston, LA: Ruston Regional",23
"RSP","Raspberry Strait, AK: Raspberry Straits",2
"RST","Rochester, MN: Rochester International",69308
"RSW","Fort Myers, FL: Southwest Florida International",2794761
"RUI","Ruidoso, NM: Sierra Blanca Regional",0
"RUT","Rutland, VT: Rutland - Southern Vermont Regional",2830
"RWI","Rocky Mount, NC: Rocky Mount-Wilson Regional",0
"SAC","Sacramento, CA: Sacramento Executive",12
"SAF","Santa Fe, NM: Santa Fe Municipal",57606
"SAN","San Diego, CA: San Diego International",6042209
"SAT","San Antonio, TX: San Antonio International",2420138
"SAV","Savannah, GA: Savannah/Hilton Head International",694366
"SBA","Santa Barbara, CA: Santa Barbara Municipal",198178
"SBD","San Bernardino, CA: San Bernardino International",4
"SBM","Sheboygan, WI: Sheboygan County Memorial",2
"SBN","South Bend, IN: South Bend International",175878
"SBP","San Luis Obispo, CA: San Luis County Regional",108696
"SBY","Salisbury, MD: Salisbury-Ocean City/Wicomico Regional",31297
"SC1","Beaufort, SC: Beaufort MCAS",191
"SCC","Deadhorse, AK: Deadhorse Airport",23314
"SCE","State College, PA: University Park",76386
"SCF","Phoenix, AZ: Scottsdale",74
"SCH","Schenectady, NY: Schenectady County",1
"SCK","Stockton, CA: Stockton Metropolitan",56363
"SCM","Scammon Bay, AK: Scammon Bay Airport",2409
"SDF","Louisville, KY: Louisville International-Standiford Field",958833
"SDM","San Diego, CA: Brown Field Municipal",40
"SDP","Sandpoint, AK: Sand Point",2144
"SDX","Sedona, AZ: Sedona Airport",2
"SDY","Sidney, MT: Sidney Richland Regional",4746
"SEA","Seattle, WA: Seattle/Tacoma International",11489459
"SEE","San Diego, CA: Gillespie Field",2
"SEF","Sebring, FL: Sebring Regional",0
"SEG","Selinsgrove, PA: Penn Valley",9
"SFB","Sanford, FL: Orlando Sanford International",810894
"SFO","San Francisco, CA: San Francisco International",11394927
"SFZ","Smithfield, RI: North Central State",6
"SGF","Springfield, MO: Springfield-Branson National",273553
"SGR","Sugar Land, TX: Sugar Land Regional",24
"SGU","St. George, UT: St George Regional",57280
"SGY","Skagway, AK: Skagway Airport",4035
"SHD","Staunton, VA: Shenandoah Valley Regional",4778
"SHG","Shungnak, AK: Shungnak Airport",1388
"SHH","Shishmaref, AK: Shishmaref Airport",1922
"SHV","Shreveport, LA: Shreveport Regional",157006
"SHX","Shageluk, AK: Shageluk Airport",345
"SIG","San Juan, PR: Isla Grande",16176
"SIT","Sitka, AK: Sitka Rocky Gutierrez",50553
"SJC","San Jose, CA: Norman Y. Mineta San Jose International",3146541
"SJT","San Angelo, TX: San Angelo Regional/Mathis Field",34062
"SJU","San Juan, PR: Luis Munoz Marin International",2446051
"SKF","San Antonio, TX: Kelly Field",0
"SKJ","Sitkinak, AK: Sitkinak CGS",0
"SKK","Shaktoolik, AK: Shaktoolik Airport",1628
"SKW","Skwentna, AK: Skwentna Airport",44
"SLC","Salt Lake City, UT: Salt Lake City International",6505146
"SLE","Salem, OR: McNary Field",6
"SLK","Saranac Lake/Lake Placid, NY: Adirondack Regional",2676
"SLN","Salina, KS: Salina Regional",5150
"SLQ","Sleetmute, AK: Sleetmute Airport",183
"SMF","Sacramento, CA: Sacramento International",2904786
"SMK","St. Michael, AK: St. Michael Airport",1428
"SMN","Salmon, ID: Lemhi County",92
"SMO","Santa Monica, CA: Santa Monica Municipal",40
"SMX","Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",14069
"SNA","Santa Ana, CA: John Wayne Airport-Orange County",2810230
"SNP","St. Paul, AK: St. Paul Island",1526
"SNY","Sidney, NE: Sidney Municipal/Lloyd W. Carr Field",0
"SOP","Pinehurst/Southern Pines, NC: Moore County",1
"SOV","Seldovia, AK: Seldovia Airport",2417
"SOW","Show Low, AZ: Show Low Regional",2848
"SPB","Charlotte Amalie, VI: Charlotte Amalie Harbor Seaplane Base",14923
"SPI","Springfield, IL: Abraham Lincoln Capital",56483
"SPN","Saipan, TT: Francisco C. Ada Saipan International",60546
"SPS","Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",22117
"SQA","Santa Ynez, CA: Santa Ynez Airport",0
"SRQ","Sarasota/Bradenton, FL: Sarasota/Bradenton International",360553
"SRV","Stony River, AK: Stony River Airport",21
"SSB","Christiansted, VI: Christiansted Harbor Seaplane Base",15094
"SSC","Sumter, SC: Shaw AFB",0
"SSI","Brunswick, GA: McKinnon St Simons Island",0
"STC","St. Cloud, MN: St. Cloud Regional",13177
"STG","St. George Island, AK: St. George Island Airport",184
"STL","St. Louis, MO: St Louis Lambert International",4071429
"STP","Minneapolis/St. Paul, MN: St. Paul Downtown Holman Field",19
"STS","Santa Rosa, CA: Charles M. Schulz - Sonoma County",111230
"STT","Charlotte Amalie, VI: Cyril E King",485250
"STX","Christiansted, VI: Henry E. Rohlsen",134090
"SUA","Stuart, FL: Witham Field",25
"SUN","Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",50740
"SUS","St. Louis, MO: Spirit of St. Louis",15
"SUU","Fairfield, CA: Travis AFB",0
"SUX","Sioux City, IA: Sioux Gateway/Col. Bud Day Field",24025
"SVA","Savoonga, AK: Savoonga Airport",2324
"SVC","Silver City/Hurley, NM: Grant County",3321
"SVH","Statesville, NC: Statesville Regional",2
"SVN","Savannah, GA: Hunter AAF",0
"SVS","Stevens Village, AK: Stevens Village Airport",278
"SVW","Sparrevohn, AK: Sparrevohn LRRS",2
"SWF","Newburgh/Poughkeepsie, NY: Stewart International",85699
"SWO","Stillwater, OK: Stillwater Regional",15544
"SXP","Sheldon Point, AK: Sheldon Point Airport",648
"SXQ","Soldotna, AK: Soldotna Airport",12
"SYB","Seal Bay, AK: Seal Bay Airport",21
"SYR","Syracuse, NY: Syracuse Hancock International",567850
"SZL","Knob Noster, MO: Whiteman AFB",0
"TAL","Tanana, AK: Ralph M Calhoun Memorial",1658
"TBN","Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field",5135
"TCL","Tuscaloosa, AL: Tuscaloosa Regional",635
"TCM","Tacoma, WA: McChord Field",0
"TCT","Takotna, AK: Takotna Airport",126
"TDF","Roxboro, NC: Person County",0
"TEB","Teterboro, NJ: Teterboro Airport",2983
"TEK","Tatitlek, AK: Tatitlek Airport",0
"TEX","Telluride, CO: Telluride Regional",1525
"TIQ","Tinian, TT: Tinian International",20442
"TIW","Tacoma, WA: Tacoma Narrows",15
"TKE","Tenakee, AK: Tenakee Airport",441
"TKF","Truckee, CA: Truckee Tahoe",0
"TKI","Tokeen, AK: Tokeen Airport",5
"TKJ","Tok, AK: Tok Junction",250
"TLA","Teller, AK: Teller Airport",874
"TLH","Tallahassee, FL: Tallahassee International",194540
"TLJ","Tatalina, AK: Tatalina LRRS",13
"TLT","Tuluksak, AK: Tuluksak Airport",1321
"TMB","Miami, FL: Miami Executive",11
"TN8","Nashville, TN: John C Tune",130
"TNC","Tin City, AK: Tin City LRRS",30
"TNK","Tununak, AK: Tununak Airport",1107
"TOA","Torrance, CA: Zamperini Field",4
"TOG","Togiak, AK: Togiak Airport",517
"TOL","Toledo, OH: Toledo Express",54686
"TPA","Tampa, FL: Tampa International",5527121
"TRI","Bristol/Johnson City/Kingsport, TN: Tri Cities",110239
"TRM","Thermal, CA: Jacqueline Cochran Regional",118
"TSG","Tanacross, AK: Tanacross Airport",57
"TSP","Tehachapi, CA: Tehachapi Municipal",0
"TTN","Trenton, NJ: Trenton Mercer",207611
"TUL","Tulsa, OK: Tulsa International",785567
"TUP","Tupelo, MS: Tupelo Regional",5904
"TUS","Tucson, AZ: Tucson International",986275
"TVC","Traverse City, MI: Cherry Capital",126855
"TVF","Thief River Falls, MN: Thief River Falls Regional",3494
"TVL","Lake Tahoe, CA: Lake Tahoe Airport",9
"TWA","Twin Hills, AK: Twin Hills Airport",61
"TWF","Twin Falls, ID: Joslin Field - Magic Valley Regional",27723
"TX4","Ballinger, TX: Bruce Field",0
"TX8","Slaton, TX: Slaton Municipal",0
"TXK","Texarkana, AR: Texarkana Regional-Webb Field",19947
"TYE","Tyonek, AK: Tyonek Airport",992
"TYR","Tyler, TX: Tyler Pounds Regional",27923
"TYS","Knoxville, TN: McGhee Tyson",536775
"UAM","Guam, TT: Andersen AFB",0
"UBF","Chatham, MA: Chatham Municipal",8
"UES","Waukesha, WI: Waukesha County",4
"UGI","Uganik, AK: Uganik Airport",13
"UGN","Waukegan, IL: Waukegan Regional",22
"UGS","Ugashik, AK: Ugashik Airport",43
"UIN","Quincy, IL: Quincy Regional-Baldwin Field",4392
"UKI","Ukiah, CA: Ukiah Municipal",0
"UMT","Umiat, AK: Umiat Airport",5
"UNK","Unalakleet, AK: Unalakleet Airport",9260
"UOX","Oxford, MS: University-Oxford",45
"USA","CONCORD, NC: CONCORD REGIONAL",79906
"UST","St. Augustine, FL: Northeast Florida Regional",9353
"UT1","Heber, UT: Heber City Municipal - Russ McDonald Field",3
"UTO","Utopia, AK: Indian Mountain LRRS",34
"UUK","Kuparuk, AK: North Kuparuk",0
"UXK","Petaluma, CA: Petaluma Municipal",0
"UXP","Bay St. Louis, MS: Stennis International",0
"UXR","Monument Valley, UT: Monument Valley Airport",700
"VA4","Leesburg, VA: Leesburg Executive",9
"VA5","Richmond, VA: Hanover County Municipal",3
"VAD","Valdosta, GA: Moody AFB",0
"VAK","Chevak, AK: Chevak Airport",3188
"VCT","Victoria, TX: Victoria Regional",1453
"VCV","Victorville, CA: Southern California Logistics",2103
"VDZ","Valdez, AK: Valdez Pioneer Field",6682
"VEE","Venetie, AK: Venetie Airport",1124
"VEL","Vernal, UT: Vernal Regional",3726
"VGC","Hamilton, NY: Hamilton Municipal",4
"VIK","Kavik River, AK: Kavik River Airport",0
"VIS","Visalia, CA: Visalia Municipal",0
"VLD","Valdosta, GA: Valdosta Regional",25124
