
ORIGIN,Description,Sum(PASSENGERS)
"BKG","Branson, MO: Branson Airport",3794
"BKL","Cleveland, OH: Burke Lakefront",6451
"BKW","Beckley, WV: Raleigh County Memorial",946
"BLD","Boulder City, NV: Boulder City Municipal",50935
"BLF","Princeton/Bluefield, WV: Mercer County",0
"BLI","Bellingham, WA: Bellingham International",226462
"BLM","Belmar/Farmingdale, NJ: Monmouth Executive",25
"BLV","Belleville, IL: Scott AFB/MidAmerica",71630
"BMG","Bloomington, IN: Monroe County",523
"BMI","Bloomington/Normal, IL: Central Illinois Regional",94508
"BNA","Nashville, TN: Nashville International",3866863
"BNF","Baranof, AK: Warm Spring Bay Seaplane Base",34
"BOI","Boise, ID: Boise Air Terminal",1000367
"BOK","Brookings, OR: Brookings Airport",0
"BOS","Boston, MA: Logan International",8740185
"BPT","Beaumont/Port Arthur, TX: Jack Brooks Regional",14254
"BQK","Brunswick, GA: Brunswick Golden Isles",21487
"BQN","Aguadilla, PR: Rafael Hernandez",173474
"BRD","Brainerd, MN: Brainerd Lakes Regional",12110
"BRL","Burlington, IA: Southeast Iowa Regional",4285
"BRO","Brownsville, TX: Brownsville South Padre Island International",63131
"BRW","Barrow, AK: Wiley Post/Will Rogers Memorial",25830
"BTI","Barter Island, AK: Barter Island Airport",1451
"BTL","Battle Creek, MI: W K Kellogg",0
"BTM","Butte, MT: Bert Mooney",16006
"BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",216448
"BTT","Bettles, AK: Bettles Airport",918
"BTV","Burlington, VT: Burlington International",318639
"BUF","Buffalo, NY: Buffalo Niagara International",1336790
"BUR","Burbank, CA: Bob Hope",1327067
"BVU","Beluga, AK: Beluga Airport",642
"BVY","Beverly, MA: Beverly Regional",26
"BWC","Brawley, CA: Brawley Municipal",9
"BWD","Brownwood, TX: Brownwood Regional",0
"BWG","Bowling Green, KY: Bowling Green-Warren County Regional",687
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7075567
"BYH","Blytheville, AR: Arkansas International",0
"BZN","Bozeman, MT: Bozeman Yellowstone International",344301
"C01","Camarillo, CA: Camarillo Airport",2
"CAE","Columbia, SC: Columbia Metropolitan",283028
"CAK","Akron, OH: Akron-Canton Regional",396439
"CBF","Council Bluffs, IA: Council Bluffs Municipal",2
"CCR","Concord, CA: Buchanan Field",7685
"CDB","Cold Bay, AK: Cold Bay Airport",3794
"CDC","Cedar City, UT: Cedar City Regional",8382
"CDL","Candle, AK: Candle 2",8
"CDR","Chadron, NE: Chadron Municipal",3082
"CDV","Cordova, AK: Merle K Mudhole Smith",8999
"CEC","Crescent City, CA: Jack McNamara Field",4193
"CEF","Chicopee Falls, MA: Westover ARB Metropolitan",388
"CEM","Central, AK: Central Airport",5
"CEU","Clemson, SC: Oconee County Regional",14
"CEW","Crestview, FL: Bob Sikes",9
"CEZ","Cortez, CO: Cortez Municipal",4965
"CGA","Craig, AK: Craig Seaplane Base",1291
"CGI","Cape Girardeau, MO: Cape Girardeau Regional",3638
"CHA","Chattanooga, TN: Lovell Field",271341
"CHD","Chandler, AZ: Chandler Municipal",710
"CHO","Charlottesville, VA: Charlottesville Albemarle",185043
"CHS","Charleston, SC: Charleston AFB/International",1125673
"CHU","Chuathbaluk, AK: Chuathbaluk Airport",145
"CIC","Chico, CA: Chico Municipal",0
"CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",334175
"CIK","Chalkyitsik, AK: Chalkyitsik Airport",391
"CIU","Sault Ste. Marie, MI: Chippewa County International",12353
"CKB","Clarksburg/Fairmont, WV: North Central West Virginia",14242
"CKD","Crooked Creek, AK: Crooked Creek Airport",242
"CKM","Clarksdale, MS: Fletcher Field",1
"CKX","Chicken, AK: Chicken Airport",10
"CLD","Carlsbad, CA: McClellan-Palomar",23
"CLE","Cleveland, OH: Cleveland-Hopkins International",2499749
"CLL","College Station/Bryan, TX: Easterwood Field",39929
"CLM","Port Angeles, WA: William R. Fairchild International",0
"CLP","Clarks Point, AK: Clarks Point Airport",137
"CLT","Charlotte, NC: Charlotte Douglas International",11907886
"CLU","Columbus, IN: Columbus Municipal",0
"CMH","Columbus, OH: John Glenn Columbus International",2093959
"CMI","Champaign/Urbana, IL: University of Illinois/Willard",52033
"CMX","Hancock/Houghton, MI: Houghton County Memorial",13981
"CNM","Carlsbad, NM: Cavern City Air Terminal",1973
"CNO","Chino, CA: Chino Airport",0
"CNY","Moab, UT: Canyonlands Field",3671
"COD","Cody, WY: Yellowstone Regional",21819
"COE","Coeur d'Alene, ID: Coeur d'Alene - Pappy Boyington Field",7
"COF","Cocoa Beach, FL: Patrick AFB",0
"COS","Colorado Springs, CO: City of Colorado Springs Municipal",434404
"COU","Columbia, MO: Columbia Regional",42906
"CPR","Casper, WY: Casper/Natrona County International",55619
"CPS","St. Louis, MO: Bi-State Parks",1991
"CPX","Culebra, PR: Benjamin Rivera Noriega",23625
"CRE","Myrtle Beach, SC: Grand Strand",18
"CRP","Corpus Christi, TX: Corpus Christi International",189161
"CRW","Charleston/Dunbar, WV: Yeager",118770
"CSG","Columbus, GA: Columbus Airport",28480
"CT1","Plainville, CT: Robertson Field",5
"CTH","Coatesville, PA: Chester County G. O. Carlson",11
"CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",2074158
"CVN","Clovis, NM: Clovis Municipal",2931
"CVO","Corvallis, OR: Corvallis Municipal",0
"CWA","Mosinee, WI: Central Wisconsin",66785
"CWF","Lake Charles, LA: Chennault International",3
"CXF","Coldfoot, AK: Coldfoot Airport",3807
"CYF","Chefornak, AK: Chefornak Airport",2540
"CYM","Chatham, AK: Chatham Airport",3
"CYS","Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",1148
"CZF","Cape Romanzof, AK: Cape Romanzof LRRS",38
"CZN","Chisana, AK: Chisana Airport",48
"DAB","Daytona Beach, FL: Daytona Beach International",209416
"DAL","Dallas, TX: Dallas Love Field",4359483
"DAY","Dayton, OH: James M Cox/Dayton International",561519
"DBQ","Dubuque, IA: Dubuque Regional",23429
"DCA","Washington, DC: Ronald Reagan Washington National",6559497
"DCK","Dahl Creek, AK: Dahl Creek Airport",31
"DCU","Decatur, AL: Pryor Field Regional",0
"DDC","Dodge City, KS: Dodge City Regional",844
"DEC","Decatur, IL: Decatur Airport",4503
"DEN","Denver, CO: Denver International",16398071
"DET","Detroit, MI: Coleman A. Young Municipal",31
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",16004667
"DGB","Danger Bay, AK: Danger Bay Airport",10
"DHN","Dothan, AL: Dothan Regional",27241
"DIK","Dickinson, ND: Dickinson - Theodore Roosevelt Regional",10565
"DIO","Diomede Island, AK: Diomede Heliport",88
"DLG","Dillingham, AK: Dillingham Airport",16515
"DLH","Duluth, MN: Duluth International",70767
"DOF","Dora Bay, AK: Dora Bay Airport",10
"DOV","Dover, DE: Dover AFB",286
"DPA","Chicago, IL: Du Page County",61
"DQK","Fort Drum, NY: Wheeler-Sack AAF",380
"DQL","Anchorage, AK: Lake Hood Strip",567
"DQN","New Smyrna Beach, FL: New Smyrna Beach Municipal",6
"DQS","Whitmore, AZ: Grand Canyon Bar Ten Airstrip",5363
"DQU","Ketchikan, AK: Neets Bay",962
"DQV","Haines, AK: Glacier Point",3
"DRF","Drift River, AK: Drift River Airport",0
"DRG","Deering, AK: Deering Airport",835
"DRO","Durango, CO: Durango La Plata County",104880
"DRT","Del Rio, TX: Del Rio International",275
"DSI","Destin, FL: Destin Executive",671
"DSM","Des Moines, IA: Des Moines International",734897
"DTO","Denton, TX: Denton Enterprise",0
"DTR","Decatur Island, WA: Decatur",26
"DTW","Detroit, MI: Detroit Metro Wayne County",8773047
"DUA","Durant, OK: Eaker Field",12
"DUJ","DuBois, PA: DuBois Regional",1951
"DUT","Unalaska, AK: Unalaska Airport",17440
"DVL","Devils Lake, ND: Devils Lake Regional",5258
"DWH","Houston, TX: David Wayne Hooks Memorial",259
"DXR","Danbury, CT: Danbury Municipal",30
"DYS","Abilene, TX: Dyess AFB",0
"EAA","Eagle, AK: Eagle Airport",311
"EAR","Kearney, NE: Kearney Regional",3931
"EAT","Wenatchee, WA: Pangborn Memorial",34277
"EAU","Eau Claire, WI: Chippewa Valley Regional",13609
"ECG","Elizabeth City, NC: Elizabeth City CGAS/Regional",532
